Código;Título;Autorxs;Org.;Tradução;Ano;Colecção;Volume;Editora;Local;Edição;Nº de Páginas;Ex. N.º;ISBN#;Formato;Etiquetas;Estatuto;Estado
0112/AGRABS;No logo: El poder de las marcas;[Naomi Klein];[-];[Genís Sánchez Barberán* Lourdes Bassols Pascual* Alejandro Jockl];2011;Booket | Divulgación Actualidad;;Ediciones Paidós;[Barcelona];1;559;;978-8408104322;Impresso;[Capitalismo* Neoliberalismo* Economia];Disponível para requisição;
0113/AGRABS;Lucha de clases: Conversaciones con David Barsamian;[Noam Chomsky];[-];[Lara Vilà];2011;Biblioteca de Bolsillo;92;Editorial Crítica;[Barcelona];;191;;978-8484324270;Impresso;[Classe* Luta de classes* Capitalismo* Neoliberalismo];Disponível para requisição;
0114/AGRABS;La (des)educación;[Noam Chomsky];[-];[Gonzalo G. Djembé];2012;Contemporánea Humanidades;757;Austral Editorial;[Barcelona];;235;;978-8408006633;Impresso;[Educação* Democracia* Pedagogia];Disponível para requisição;
0115/AGRABS;Framing Farming: Communication Strategies for Animal Rights;[Carrie P. Freeman];[-];[-];2014;Critical Animal Studies;2;Editions Rodopi;[Amsterdam and New York];1;290;;978-9042038929;Impresso;[Média* Especismo* Libertação animal* Movimentos sociais];Disponível para requisição;
0116/AGRABS;Confronting Animal Exploitation: Grassroots Essays on Liberation and Veganism;[-];[Kim Socha* Sarahjane Blum];[-];2013;-;-;McFarland & Company, Inc;[Jefferson, North Carolina and London];1;284;;978-0786465750;Impresso;[Veganismo* Libertação animal* Movimentos sociais* Praxis* Transformação social];Disponível para requisição;
0117/AGRABS;Igniting A Revolution: Voices in Defense of the Earth;[-];[Steven Best* Anthony J. Nocella  II];[-];2006;-;-;AK Press;[Edinburgh, Oakland and Baltimore];1;441;;978-1904859567;Impresso e e-book;[Ecologia* Movimentos sociais* Acção directa* Primitivismo* Consumo];Disponível para requisição;
0118/AGRABS;Women, Destruction, and the Avant-Garde: A Paradigm for Animal Liberation;[Kim Socha];[-];[-];2011;Critical Animal Studies;1;Rodopi;[Amsterdam - New York];1;258;;978-9042034235;Impresso;[Libertação animal* Avant Garde* Movimentos sociais* Feminismo];Disponível para requisição;
0119/AGRABS;Beyond Boundaries: Humans and Animals;[Barbara Noske];[-];[-];1997;-;-;Black Rose Books;[Montreal, New York and London];;253;;978-1551640785;Impresso;[Complexo industrial animal* Especismo* Libertação animal];Disponível para requisição;
0120/AGRABS;Farmageddon: The True Cost of Cheap Meat;[Philip Lymbery* Isabel Oakeshott];[-];[-];2015;-;-;Bloomsbury ;[London];-;426;;978-1408846346;Impresso;[Complexo industrial animal* Especismo* Carnismo* Consumo];Disponível para requisição;
0121/AGRABS;The Ethics Of What We Eat: Why Our Food Choices Matter;[Peter Singer* Jim Mason];[-];[-];2006;-;-;Rodale Press;[-];1;328;;978-1594866876;Impresso;[Consumo* Ética* Libertação animal* Especismo];Disponível para requisição;
0122/AGRABS;Animal Revolution: Changing Attitudes Towards Speciesism;[Richard D. Ryder];[-];[-];2000;-;-;Berg;[Oxford and New York];;284;;978-1859733301;Impresso;[Especismo* Movimentos sociais* História];Disponível para requisição;
0123/AGRABS;Profit Over People: Neoliberalism and Global Order;[Noam Chomsky];[-];[-];1999;-;-;Seven Stories Press;[New York];1;175;;978-1888363821;Impresso;[Neoliberalismo* Capitalismo* Consumo* Economia* Democracia];Disponível para requisição;
0124/AGRABS;Eat Like You Care: An Examination of the Morality of Eating Animals;[Gary L. Francione* Anna Charlton];[-];[-];2013;-;-;Exempla Press;[-];1;135;;978-1492386513;Impresso;[Consumo* Ética* Libertação animal* Especismo];Disponível para requisição;
0125/AGRABS;Intersectionality: A Foundations and Frontiers Reader;[-];[Patrick R. Grzanka];[-];2014;-;-;Westview Press;[Boulder];1;356;;978-0813349084;Impresso;[Interseccionalidade* Opressão* Epistemologia* Políticas de representação* Migração* Resistência];Disponível para requisição;
0126/AGRABS;Against Equality: Queer Revolution, Not Mere Inclusion;[-];[Ryan Conrad];[-];2014;-;-;AK Press;[Edinburgh, Oakland and Baltimore];1;260;;978-1849351843;Impresso;[Género* Sexualidades* Anti-assimilacionismo* Transformação social* LGBT];Disponível para requisição;
0127/AGRABS;Chomsky On Anarchism;[Noam Chomsky];[Barry Pateman];[-];2005;-;-;AK Press;[Edinburgh, Oakland and West Virginia];-;241;;978-1904859208;Impresso;[Anarquismo];Disponível para requisição;
0128/AGRABS;Occupy;[Noam Chomsky];[-];[Maria Afonso];2013;-;-;Antígona;[Lisboa];1;114;;978-972-608-232-3;Impresso;[Movimentos sociais* Occupy];Disponível para requisição;
0129/AGRABS;For What Tomorrow . . .: A Dialogue;[Jacques Derrida* Élisabeth Roudinesco];[-];[Jeff Fort];2004;Cultural Memory in the Present;-;Stanford University Press;[Stanford, California];-;238;;978-0804746274;Impresso;[Psicanálise* Pós-estruturalismo* Diferença];Disponível para requisição;
0130/AGRABS;Corporate Power and Ownership in Contemporary Capitalism: The Politics of Resistance and Domination;[Susanne Soederberg];[-];[-];2010;RIPE Series in Global Political Economy;-;Routledge;[London and New York];1;195;;978-0415467889;Impresso;[Neoliberalismo* Governança* Capitalismo* Corporações];Disponível para requisição;
0131/AGRABS;The Corporations and the State: Essays in the Theory of Capitalism and Imperialism;[James O'Connor];[-];[-];;;;Happer Torchbooks;[New York, Hagerstown, San Francisco, London];-;222;;978-0060903626;Impresso;[Capitalismo* Imperialismo* Estado* Corporações* Economia];Disponível para requisição;
0132/AGRABS;Fast Food Nation: What The All-American Meal is Doing to the World;[Eric Schlosser];[-];[-];2002;-;-;Penguin Books;[London and New York];1;386;;978-0141006871;Impresso;[Consumo* Especismo* Carnismo];Disponível para requisição;
0133/AGRABS;Managing Democracy, Managing Dissent: Capitalism, Democracy and the Organisation of Consent;[-];[Rebecca Fisher];[-];2013;-;-;Corporate Watch;[London ];1;379;;978-1907738098;Impresso;[Democracia* Capitalismo* Neoliberalismo];Disponível para requisição;
0134/AGRABS;The Age of Globalization: Anarchists and the Anticolonial Imagination;[Benedict Anderson];[-];[-];2013;-;-;Verso Books;[London and New York];3;255;;978-1781681442;Impresso;[Anarquismo* Anti-imperialismo* Anti-colonialismo];Disponível para requisição;
0135/AGRABS;Critical Theory and Animal Liberation;[-];[John Sanbonmatsu];[-];2011;Nature's Meaning;-;Rowman & Littlefield Publishers, Inc;[Lanham];1;367;;978-1442205802;Impresso;[Especismo* Libertação animal* Teoria crítica];Disponível para requisição;
0136/AGRABS;The Meaning of Freedom and Other Difficult Dialogues;[Angela Y. Davis];[-];[-];2012;Open Media Series;-;City Lights Books;[San Francisco, CA];1;201;;978-0872865808;Impresso;[Liberdade* Direitos civis* Racismo* Democracia* Prisões* LGBT* Transformação social];Disponível para requisição;
0137/AGRABS;Quiet Rumours: An Anarcha-Feminist Reader;[Roxanne Dunbar-Ortiz* Peggy Kornegger* Jo Freeman* Emma Goldman* Voltairine De Cleyre* Mujeres Creando* Rote Zora];[Dark Star ];[-];2012;-;-;AK Press/Dark Star;[Edinburgh, Oakland and Baltimore];3;133;;978-1-84935-103-4;Impresso;[Anarco-feminismo* Anarquismo* Feminismo* Género];Disponível para requisição;
0138/AGRABS;Towards Collective Liberation: Anti-Racist Organizing, Feminist Praxis, and Movement Building Strategy;[Chris Crass];[-];[-];2013;-;-;PM Press;[Oakland, CA];1;295;;978-1604866544;Impresso;[Movimentos sociais* Anarquismo* Anti-racismo* Feminismo];Disponível para requisição;
0139/AGRABS;Critical Animal Studies: An Introduction;[Dawne McCance];[-];[-];2013;-;-;State University of New York Press;[Albany, USA];1;190;;978-1438445342;Impresso;[Direitos dos animais* Libertação animal* Estudos críticos dos animais];Disponível para requisição;
0140/AGRABS;Beyond Beef: The Rise And Fall of the Cattle Culture;[Jeremy Rifkin];[-];[-];1992;Plume;;Dutton;[New York];1;353;;978-0452269521;Impresso;[Complexo industrial animal* Carnismo* Consumo];Disponível para requisição;
0141/AGRABS;La Comuna de París: Historia y Recuerdos;[Louise Michel];[-];[La Malatesta];2014;-;-;La Malatesta Editorial/Tierra de Fuego;[Madrid e Tenerife];1;346;;978-84-940394-2-3;Impresso;[Anarquismo* História* Memória* Biografia];Disponível para requisição;
0142/AGRABS;Emma Goldman: A Documentary History of the American Years;[Emma Goldman];[Candace Falk];[-];2008;-;2;University of Illinois Press;[Urbana e Chicago];1;641;;978-0-252-07543-8;Impresso;[Anarquismo* Feminismo* Anarco-feminismo* História* Memória];Disponível para consulta;
0143/AGRABS;Living My Life;[Emma Goldman];[-];[-];2015;-;2;Active Distribution e Sto citas?;[London e Zagreb];-;262;;978-1-909798-18-2;Impresso;[Anarquismo* Anarco-feminismo* Memória* Biografia];Disponível para requisição;
0144/AGRABS;Living My Life;[Emma Goldman];[-];[-];2015;-;3;Active Distribution e Sto citas?;[London e Zagreb];-;263;;978-1-909798-19-9;Impresso;[Anarquismo* Anarco-feminismo* Memória* Biografia];Disponível para requisição;
0145/AGRABS;Sociología, Estatismo y Dominación Social;[Juanma Agulles];[-];[-];2010;-;-;Editorial Brulot;[-];1;146;;978-84-614-0280-9;Impresso;[Sociologia* Dominação* Academia];Disponível para requisição;
0146/AGRABS;Maria Nikiforova: La Révolution sans Attendre;[-];[Mila Cotlenko];[-];2015;Le fil noir de l'histoire ;3;Mutines Séditions;[Paris];2;145;1;-;Impresso;[História* Biografia* Revolução];Disponível para requisição;
0147/AGRABS;Charlotte M. Wilson: Anarchist Essays;[Charlotte M. Wilson];[Nicolas Walter];[-];2000;Anarchist Classics;-;Freedom Press;[London ];1;95;;0-900384-99-9;Impresso;[Anarquismo* História* Memória ];Disponível para requisição;
0148/AGRABS;Anarchism: Selected Essays;[Emma Goldman];[-];[-];;-;-;-;[-];-;283;;978-1507773260;Impresso;[Anarquismo* Anarco-feminismo* História* Biografia];Disponível para requisição;
0149/AGRABS;Se Não Puder Dançar Esta Não é a Minha Revolução: Aspectos da Vida de Emma Goldman;[-];[Clara Queiroz];[-];2008;-;-;Assírio & Alvim;[Lisboa];1;287;;978-972-37-1312-1;Impresso;[Anarquismo* Anarco-feminismo* História* Biografia* Memória];Disponível para requisição;
0150/AGRABS;Visión en Llamas: Emma Goldman sobre la Revolución Española ;[-];[David Porter];[-];2006;-;-;El Viejo Topo;[Estado espanhol];;413;;978-84-15216-97-1;Impresso;[Anarquismo* Anarco-feminismo* História* Memória];Disponível para requisição;
0151/AGRABS;L' Anarchism;[Daniel Guérin];[-];[-];2012;folio essais;-;Gallimard;[Saint-Amand];-;279;;978-2-07-032427-9 ;Impresso;[Anarquismo* História];Disponível para requisição;
0152/AGRABS;Guerra Civil de Espanha;[Antony Beevor];[João Vidigal];[-];2006;Ensaios e Documentos;- ;Bertrand;[Lisboa];-;461;;972-25-1527-6;Impresso;[História* Revolução* ];Disponível para requisição;
0153/AGRABS;O Irresponsável ;[Pedro García Olivo];[-];[Pedro Morais];2016;-;-;Textos Igneos;[- ];1;142;;-;Impresso;[Anarquismo* Ficção];Disponível para requisição;
0154/AGRABS;Anarquismo civil o subversivo;[VV.AA.];[-];[Golondrinas Kaóticas];2014;-;-;letra armada;[-];-;98;;-;Impresso;[Anarquismo];Disponível para requisição;
0155/AGRABS;História das Ideias e Movimentos Anarquistas;[George Woodcock];[-];[Alice K. Miyashiro* Heitor Ferreira da Costa* José António Arantes e Júlia Tettamanzy];2002;O Movimento;2;L&PM pocket;[Porto Alegre];1;279;;978-85-254-1227-0;Impresso;[História* Anarquismo*];Disponível para requisição;
0156/AGRABS;Libertari@s: Antología de anarquistas y afines para uso de las generaciones jóvenes;[Carlos Taibo];[-];[];2010;El rojo y el negro;9;Los libros del lince;[Barcelona];1;209;;978-84-15070-02-3;Impresso;[Anarquismo* Juvenil];Disponível para requisição;
0157/AGRABS;Desesperar;[Pedro García Olivo];[-];[Textos Subterrâneos];2014;-;-;Publidisa;[-];1;191;;978-8489806238;Impresso;[Ficção* Filosofia];Disponível para requisição;
0158/AGRABS;El Estado en la Historia ;[Gaston Leval];[-];[-];;Pensamiento Contemporaneo;-;La Cuchilla;[Cali];2;296;;-;Impresso;[História* Teoria Política];Disponível para requisição;
0159/AGRABS;Aos nossos amigos ;[Comité Invisível];[-];[-];2015;-;-;Edições Antipáticas;[Lisboa];1;191;;-;Impresso;[Teoria Política* Filosofia];;
0160/AGRABS;Ai Ferri Corti: Confronto mortal com o existente, os seus defensores e os seus falsos críticos;[Anónimo];[];[Textos Subterrâneos];2015;;;Discórdia Edições;[-];-;67;;978-8865161746;Impresso;[Anarquismo];Disponível para requisição;
0161/AGRABS;A oposição libertária em Portugal;[Edgar Rodrigues];[-];[-];1982;-;-;Sementeira;[Lisboa];1;372;;-;Impresso;[Anarquismo* Revolução* ];;
0162/AGRABS;La capacidad politica de la clase obrera;[Pierre-Joseph Proudhon];[-];[F. Pi y Magal];1978;-;-;Ediciones Jucar;[Madrid, Barcelona];1;143;;84-334-1531-X;Impresso;[Classe* História* Anarquismo];Disponível para requisição;
0163/AGRABS;Atrincheradas en la Carne: Lecturas en torno a las Práticas Postpornográficas;[Lucía Egaña Rojas];[-];[-];2017;-;-;edicions bellaterra;[Barcelona];1;294;;978-84-7290-739-3;Impresso;[Pós-pornografia* Transfeminismo* Queer* Descolonialidades];Disponível para requisição;
0164/AGRABS;Abocajarro: Reflexiones Anarcofeministas;[Mireia Redondo Prat];[-];[-];2018;-;-;Editorial Descontrol;[Barcelona];1;312;;978-84-17190-54-5;Impresso;[Anarco-feminismo* Classe* Auto-defesa feminista* Acção directa];Disponível para requisição;
0165/AGRABS;"The ""Euthanasia Institution"" of Brandenburg an der Havel: Murder of the Ill and Handicapped during National Socialism";[-];[Astrid Ley* Annette Hinz-Wessels];[-];2012;-;-;Metropol;[Berlim];1;196;;978-3-86331-086-8;Impresso;[Nazismo* História* Memória];Disponível para consulta;
0166/AGRABS;Photoautomat;[Francisca Camelo];[-];[-];2019;-;-;Enfermaria 6;[-];1;53;;978-989-691-831-6;Impressão;[Poesia];;
0167/AGRABS;The Rise of Critical Animal Studies: From the Margins to the Centre;[-];[Nik Taylor* Richard Twine];[-];2014;Routledge Advances in Sociology;125;Routledge;[London and New York];1;286;;978-0415858571;Impresso;[Estudos críticos dos animais* especismo* movimentos sociais* libertação animal];Disponível para requisição;
0168/AGRABS;Defining Critical Animal Studies: An Intersectional Social Justice Approach for Liberation;[-];[Anthony J. Nocella II* John Sorenson* Kim Socha* Atsuko Matsuoka];[-];2014;Counterpoints: Studies in the Postmodern Theory of Education;448;Peter Lang ;[New York];1;241;;978-1433121364;Impresso;[Estudos críticos dos animais* especismo* movimentos sociais* libertação animal* justiça social];Disponível para requisição;
0169/AGRABS;Five Sisters: Women Against the Tsar;[-];[Barbara Alpern Engel* Clifford N. Rosenthal];[-];1975;;;Knopf;[New York];1;249;;0-394-48553-x;Impresso;[História* Memória* Revolução* Biografia];Disponível para requisição;
0170/AGRABS;Beasts of Burden: Animal and Disability Liberation;[Sunaura Taylor];[-];[-];2017;-;-;The New Press;[New York];1;260;;978-1620971284;Impresso;[Diversidade (neuro-)funcional* especismo* capacitismo* libertação animal* movimentos sociais];Disponível para requisição;
0171/AGRABS;Femmes of Power: Exploding Queer Femininities;[Del LaGrace Volcano* Ulrika Dahl];[-];[-];2008;-;-;Serpent's Tail;[London   ];1;191;;978-1846686641;Impresso;[Feminilidades* Queer* Género* Sexualidades* LGBT* Feminismo* Transfeminismo* Fotografia];Disponível para consulta;
0172/AGRABS;Meat, Modernity, and the Rise of the Slaughterhouse;[-];[Paula Young Lee];[-];2008;Becoming Modern: New Nineteenth-century Studies;;University of New Hampshire Press;[Durham, New Hampshire];-;308;;978-1584656982;Impresso;[Complexo industrial animal* carnismo* consumo* especismo];Disponível para requisição;
0173/AGRABS;Freedom Fighters: Anarchist Intellectuals, Workers and Soldiers in Portugal's History;[João Freire];[-];[Maria Fernanda Noronha da Costa e Sousa];2001;-;-;Black Rose Books;[Montréal, New York and London];;202;;1-55164-138-0;Impresso;[Anarquismo* História* Sindicalismo* Trabalho];Disponível para requisição;
0174/AGRABS;Precarious Life: The Power of Mourning and Violence;[Judith Butler];[-];[-];2006;-;-;Verso;[London and New York];-;168;;978-1844675449;Impresso;[Precariedade* Vulnerabilidade* Género* Sexualidades* Violência];Disponível para requisição;
0175/AGRABS;Speciesism;[Joan Dunayer];[-];[-];2004;-;-;Ryce Publishing;[Derwood, Maryland];1;204;;978-0970647566;Impresso;[Especismo* Libertação animal* Direitos dos animais* Movimentos sociais];Disponível para requisição;
0176/AGRABS;The Politics of Reality: Essays In Feminist Theory;[Marilyn Frye];[-];[-];1983;The Crossing Press feminist series;-;Crossing Press;[Freedom, California];-;175;;978-0895941008;Impresso;[Feminismo* Opressão* Branquitude* Lesbianismo];Disponível para requisição;
0177/AGRABS;Archaeology of Knowledge;[Michel Foucault];[-];[-];2002;;;Routledge;[];;;;978-0415287531;Impresso;[Filosofia];Disponível para requisição;
0178/AGRABS;Gender Trouble: Feminism and the Subversion of Identity;[Judith Butler];[-];[-];2007;Routledge Classics;;Routledge;[New York and London];-;236;;978-0415389556;Impresso;[Género* Sexualidades* Queer* Pós-estruturalismo];Disponível para requisição;
0179/AGRABS;Bodies That Matter;[Judith Butler];[-];[-];2011;Routledge Classics;;Routledge;[London and New York];;219;;978-0415610155;Impresso;[Género* Teoria queer* Pós-estruturalismo* Sexualidades];Disponível para requisição;
0180/AGRABS;Frames of War: When is Life Grievable?;[Judith Butler];[-];[-];2010;-;-;Verso ;[London and New York];-;193;;978-1844676262;Impresso;[Vulnerabilidade* Violência* Pós-estruturalismo];Disponível para requisição;
0181/AGRABS;The Will of the Many: How the Alterglobalisation Movement is Changing the Face of Democracy;[Marianne Maeckelbergh];[-];[-];2009;Anthropology, Culture and Society;-;Pluto Press;[London and New York];1;284;;978-0745329253;Impresso;[Alter-globalização* Democracia* Movimentos sociais];Disponível para requisição;
0182/AGRABS;Ecofeminism: Feminist Intersections with Other Animals and the Earth;[-];[Carol J. Adams* Lori Gruen];[-];2014;;;Bloomsbury;[New York and London];1;273;;978-1628928037;Impresso;[Ecofeminismo* Especismo* Libertação animal];Disponível para requisição;
0183/AGRABS;Animal Equality: Language and Liberation;[Joan Dunayer];[-];[-];2001;-;-;Ryce Publishing;[Derwood, Maryland];-;265;;978-0970647559;Impresso;[Libertação animal* Especismo* Linguagem];Disponível para requisição;
0184/AGRABS;In Defense of Animals: The Second Wave;[-];[Peter Singer];[-];2006;;;Blackwell Publishing;[Malden, Oxford, and Victoria];1;248;;978-1405119412;Impresso;[Especismo* Libertação animal];Disponível para requisição;
0185/AGRABS;The Politics of Total Liberation: Revolution for the 21st Century;[Steven Best];[-];[-];2014;Critical Political Theory and Radical Practice;-;Palgrave Macmillan;[New York];1;187;;978-1137471116;Impresso;[Libertação animal* Especismo];Disponível para requisição;
0186/AGRABS;Another World Is Possible: Globalization and Anti-Capitalism;[David McNally];[-];[-];2006;;;Arp Books;[Winnipeg, Manitoba, CA];2;408;;978-1894037273;Impresso;[Globalização* Anti-capitalismo* Movimentos sociais];Disponível para requisição;
0187/AGRABS;Anarchism & Sexuality: Ethics, Relationships and Power ;[-];[Jamie Heckert* Richard Cleminson];[-];2012;Social Justice;;Routledge;[London and New York];-;232;;978-0415658188;Impresso;[Anarquismo* Sexualidade* Queer* Ética];Disponível para requisição;
0188/AGRABS;The Dreaded Comparison: Human and Animal Slavery;[Marjorie Spiegel];[-];[-];1996;-;-;Mirror Books;[New York];-;128;;978-0962449338;Impresso;[Especismo* Libertação animal];Disponível para requisição;
0189/AGRABS;Questioni di Specie;[Massimo Filippi];[-];[-];2017;-;-;Elèuthera;[Milano];1;117;;978-8898860791;Impresso;[Especismo* Libertação animal];Disponível para requisição;
0190/AGRABS;Nell'albergo di Adamo: Gli animali, la questione animale e la filosofia;[Massimo Filippi* Filippo Trasatti];[-];[-];2010;Eterotopie;83;Mimesis;[Milano - Udine];1;317;;978-8857501253;Impresso;[Especismo* Libertação animal* Filosofia];Disponível para requisição;
0191/AGRABS;Così perfetti e utili: Genealogia dello sfruttamento animale;[Benedetta Piazzesi];[-];[-];2015;Eterotopie;299;Mimesis;[Milano - Udine];1;184;;978-8857526409;Impresso;[Especismo* Libertação animal* Complexo industrial animal];Disponível para requisição;
0192/AGRABS;Contro i diritti degli animali? Proposta per un antispecismo postumanista;[Roberto Marchesini];[-];[-];2014;Saggi;28;Sonda;[Casale Monferrato];1;188;;978-8871067353;Impresso;[Anti-especismo* Pós-humanismo* Direitos dos animais];Disponível para requisição;
0193/AGRABS;Etologia filosofica. Alla ricerca della soggettività animale;[Roberto Marchesini];[-];[-];2016;Eterotopie;334;Mimesis;[Milano - Udine];-;121;;978-8857532332;Impresso;[Subjectividade animal* Filosofia* Devir animal];Disponível para requisição;
0194/AGRABS;L'invenzione della Specie: Sovvertire la Norma, Divenire Mostri;[Massimo Filippi];[-];[-];2016;Culture;158;Ombre Corte;[Verona];1;120;;978-8869480447;Impresso;[Especismo* Libertação animal* Pós-estruturalismo];Disponível para requisição;
0195/AGRABS;Crimini in Tempo di Pace: La Questione Animale e l'Ideologia del Dominio;[Massimo Filippi* Filippo Trasatti];[-];[-];2013;-;-;Elèuthera;[Milano];1;295;;978-88-96904-79-4;Impresso;[Especismo* Libertação animal* Dominação];Disponível para requisição;
0196/AGRABS;Corpi che Non Contano: Judith Butler e gli Animali;[-];[Massimo Filippi* Marco Reggio];[-];2015;Filosofie;379;Mimesis;[Milano - Udine];1;92;;978-88-5753-108-3;Impresso;[Especismo* Pós-estruturalismo* Corpo* Espécie];Disponível para requisição;
0197/AGRABS;Who's Afraid of the Black Blocs? Anarchy in Action around the World;[Francis Dupuis-Déri];[-];[Lazer Lederhendler];2014;-;-;PM Press;[Oakland, CA];-;215;;978-1-60486-949-1;Impresso;[Black blocs* Violência política* Repressão];Disponível para requisição;
0198/AGRABS;En ese sitio maldito donde reina la tristeza...: Reflexiones sobre las cárceles de animales humanos y no-humanos;[Asamblea Antiespecista de Madrid];[-];[-];2014;-;-;ochodoscuatro ediciones;[-];2;161;;978-84-697-1115-6;Impresso;[Complexo industrial animal* especismo* prisão];Disponível para requisição;
0199/AGRABS;Portugal: La Revolución Imposible?;[Phil Mailer];[-];[Jorge del Arco];2015;-;-;Editorial Klinamen;[-];1;436;;978-84-942870-4-6;Impresso;[Revolução* Eleitorismo];Disponível para requisição;
0200/AGRABS;Sister Species: Women, Animals and Social Justice;[-];[Lisa A. Kemmerer];[-];2011;;;University of Illinois Press;[Urbana, Chicago, and Springfield];1;190;;978-0252078118;Impresso;[Eco-feminismo* Especismo* Libertação animal* Direitos dos animais* Ética];Disponível para requisição;
0201/AGRABS;Neither Man nor Beast: Feminism and the Defense of Animals;[Carol J. Adams];[-];[-];1994;-;-;Continuum;[New York];1;271;;0-8264-0670-x;Impresso;[Eco-feminismo* Especismo* Libertação animal* Direitos dos animais* Ética];Disponível para requisição;
0202/AGRABS;Animals and Women: Feminist Theoretical Explorations;[-];[Carol J. Adams* Josephine Donovan];[-];1995;-;-;Duke University Press;[Durham and London];-;381;;0-8223-1667-6;Impresso;[Eco-feminismo* Especismo* Libertação animal* Direitos dos animais* Ética];Disponível para requisição;
0203/AGRABS;Por qué no nos dejan hacer en la calle? Prácticas de control social y privatización de los espacios en la ciudad capitalista ;[Ariana Sánchez Cota* Esther García García* Juan Rodríguez Medela];[-];[-];2013;-;-;GEA La Corrala;[Granada];1;194;;978-84-616-6240-1;Impresso;[Cidade capitalista* controlo* democracia* espaço público];Disponível para requisição;
0204/AGRABS;Bakunine ou a vida contra a ciência;[Henri Arvon];[-];[Franco de Sousa];1971;Filosófos de todos os tempos;-;Estúdios Cor;[Lisboa];-;275;;-;Impresso;[Anarquismo* Estado* Federalismo];Disponível para requisição;
0205/AGRABS;A resistência anarco-sindicalista à ditadura: Portugal 1922-1939;[Edgar Rodrigues];[-];[-];1981;-;-;Editora Sementeira;[Lisboa];-;374;;-;Impresso;[Fascismo* Greve* Sindicalismo revolucionário* anarco-sindicalismo];Disponível para requisição;
0206/AGRABS;Os caminhos da anarquia: Uma reflexão sobre as alternativas libertárias em tempos sombrios;[M. Ricardo de Sousa];[-];[-];2011;Colecção Anátema;-;Letra Livre;[Lisboa];1;105;;978-989-8268-11-2;Impesso;[Anarquismo* História];Disponível para requisição;
0207/AGRABS;Deus e o Estado ;[Mikhail Bakunin];[-];[Júlio Henriques];1976;Cadernos Peninsulares/Nova série;Ensaio 19;Assírio & Alvim;[Lisboa];-;167;;-;Impresso;[Anarquismo* Estado* Autoridade];Disponível para requisição;
0208/AGRABS;Escrito(s) a Vermelho;[Voltairine de Cleyre];[-];[Carlos Jacques* Carlos Nuno* Mário Rui Pinto* Miguel Sousa* Pedro Morais];2019;-;-;Barricada de Livros;[Lisboa];1;206;;-;Impresso;[Anarquismo* Anarco-feminismo* História];Disponível para requisição;
0209/AGRABS;Cartografía de la ciudad capitalista: Transformación urbana y conflicto social en el Estado español;[-];[Grupo de Estudios Antropológicos La Corrala];[-];2016;-;-;Traficante de sueños;[Madrid];-;306;;978-84-945978-0-0;Impresso ;[Cidade capitalista* conflito social* gentrificação* turistificação* capitalismo];Disponível para requisição;
0210/AGRABS;Emma Goldman (1869-1940). Recopilatorio de escritos;[Emma Goldman];[-];[-];;-;-;Editorial Descontrol;[Barcelona];-;176;;978-84-16553-02-0;Impresso;[Anarquismo* Anarco-feminismo* História];Disponível para requisição;
0211/AGRABS;Anarquismo y lucha de clases;[-];[Stuart Christie* Albert Meltzer];[Eduardo Prieto];2015;-;-;Editorial Descontrol;[Barcelona];-;274;;978-1-873976-59-3;Impresso;[Anarquismo* Classe* História];Disponível para requisição;
0212/AGRABS;Mujeres libres: El anaquismo y la lucha por la emancipación de las mujeres;[Martha Ackelsberg];[-];[Antonia Ruiz];2006;-;-;Virus Editorial;[Barcelona];3;320;;978-84-88455-66-6;Impresso;[Anarquismo* Anarco-feminismo* História* Guerra Civil espanhola];Disponível para requisição;
0213/AGRABS;ABC of Anarchism;[Alexander Berkman];[-];[-];1964;-;-;Freedom Press;[London   ];3;147;;0-900384-03-4;Impresso;[Anarquismo* História];Disponível para requisição;
0214/AGRABS;"Capitalismo privado ou capitalismo de Estado não é escolha! Editoriais e textos do jornal ""Combate""";[Jornal Combate];[-];[-];1975;Luta de classes;6;Afrontamento;[Porto];;160;;-;Impresso;["Capitalismo* Estado* Jornal ""Combate""* Memória"];Disponível para requisição;
0215/AGRABS;Anarquismo y Revolución en Rusia 1917-1921;[Carlos Taibo];[-];[-];2017;-;623;Catarata ;[Madrid];2;286;;978-84-9097-280-9;Impresso;[Anarquismo* Revolução russa* História];Disponível para requisição;
0216/AGRABS;Up Against the Wall Motherfuckers!;[VV.AA.];[-];[Edições Antipáticas];2011;-;-;Edições Antipáticas;[Lisboa];;224;;-;Impresso;[-];Disponível para requisição;
0217/AGRABS;Manual de Resistência Civil (como se chega a desobedecer);[Pedro Bravo];[-];[-];2014;Colecção Anátema;-;Letra livre;[Lisboa];1;89;;978-989-8268-22-8;Impresso;[Direito de resistência* Desobediência* Direito de manifestação];Disponível para requisição;
0218/AGRABS;Anarchie et cause animale;[-];[Philippe Pelletier ];[-];2015;-;-;Editions du Monde Libertaire;[Paris];-;155;;978-2915-514629;Impresso;[Anarquismo* especismo* direitos dos animais];Disponível para requisição;
0219/AGRABS;Anarquistas, Socialistas e Comunistas;[Errico Malatesta];[-];[Plínio Augusto Coêlho];2014;Filosofia e Política libertárias;2;Intermezzo Editorial/Editora Imaginário;[São Paulo];-;256;;978-85-68115-04-6;Impresso;[anarquismo* socialismo* comunismo];Disponível para requisição;
